date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:17	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Jul%202021%2005:52:27%20GMT	http://pxdraft.com/wrap/fusion/pxdraft.com	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/pxdraft.com	(from http://pxdraft.com/wrap/fusion/)
11:22:26	8857/8857	---M--	200	added ('OK')	image/png	etag:%22534c8e9-2299-5c348d76db772%22	http://pxdraft.com/wrap/fusion/static/img/payments.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/payments.png	(from http://pxdraft.com/wrap/fusion/)
11:22:30	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%22534c8f3-15d84-5c348d7b01ba5%22	http://pxdraft.com/wrap/fusion/static/js/jquery-3.5.1.min.js	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/js/jquery-3.5.1.min.js	(from http://pxdraft.com/wrap/fusion/)
11:22:44	42766/42766	---M--	200	added ('OK')	application/javascript	etag:%22534c966-a70e-5c348d9647b47%22	http://pxdraft.com/wrap/fusion/static/vendor/owl-carousel/js/owl.carousel.min.js	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/owl-carousel/js/owl.carousel.min.js	(from http://pxdraft.com/wrap/fusion/)
11:22:46	20216/20216	---M--	200	added ('OK')	application/javascript	etag:%22534c8f7-4ef8-5c348d7b3f406%22	http://pxdraft.com/wrap/fusion/static/vendor/magnific/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/magnific/jquery.magnific-popup.min.js	(from http://pxdraft.com/wrap/fusion/)
11:22:47	8814/8814	---M--	200	added ('OK')	application/javascript	etag:%22534c961-226e-5c348d938566d%22	http://pxdraft.com/wrap/fusion/static/vendor/mail/js/script.js	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/mail/js/script.js	(from http://pxdraft.com/wrap/fusion/)
11:22:47	5067/5067	---M--	200	added ('OK')	application/javascript	etag:%22534c8f2-13cb-5c348d7aa0122%22	http://pxdraft.com/wrap/fusion/static/js/custom.js	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/js/custom.js	(from http://pxdraft.com/wrap/fusion/)
11:22:48	63666/63666	---M--	200	added ('OK')	text/css	etag:%22534c917-f8b2-5c348d82deec8%22	http://pxdraft.com/wrap/fusion/static/vendor/bootstrap/icons/bootstrap-icons.css	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/bootstrap/icons/bootstrap-icons.css	(from http://pxdraft.com/wrap/fusion/static/css/style.css)
11:22:49	58578/58578	---M--	200	added ('OK')	text/css	etag:%22534c94b-e4d2-5c348d8e344f2%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css	(from http://pxdraft.com/wrap/fusion/static/css/style.css)
11:22:50	6951/6951	---M--	200	added ('OK')	text/css	etag:%22534c8f8-1b27-5c348d7bb75e9%22	http://pxdraft.com/wrap/fusion/static/vendor/magnific/magnific-popup.css	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/magnific/magnific-popup.css	(from http://pxdraft.com/wrap/fusion/static/css/style.css)
